# Chunk-averaged data for fix 5 and group mobile
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number v_T vx vy vz v_vx2 v_vy2 v_vz2 c_cols[1] c_cols[2] c_cols[3] c_cols[4] c_cols[5] c_cols[6]
1000000 800 500000.00000000064
  88 21.875 19.5779 0.195779 15588.8 0.0283967 -1.0381 -25.7611 14729.1 14607.8 17429.5 -112.325 -116.27 -125.164 0.829065 1.86023 3.30985
  89 22.125 19.1363 0.191363 15879.3 1.8739 -0.973114 -26.2567 15256.7 14797.3 17583.9 -120.053 -114.996 -121.424 -3.11347 3.52949 2.55962
  90 22.375 19.4868 0.194868 15902.1 -1.45327 -3.51112 -25.6565 15595.7 15069.6 17040.9 -115.575 -116.01 -119.548 -1.50432 -1.17425 1.36184
  91 22.625 19.1648 0.191648 16001.1 -3.57457 -3.0011 -25.2592 15654.5 15347.2 17001.5 -105.067 -106.95 -111.655 3.22726 3.65299 -3.57725
  92 22.875 19.1961 0.191961 15878.8 -1.56169 -4.45471 -25.291 15608.8 15235.1 16792.4 -118.902 -113.264 -112.84 1.80509 8.48696 1.8841
  93 23.125 19.1135 0.191135 16130.8 -2.22196 -5.73379 -25.2566 15806.8 15961.9 16623.8 -116.853 -120.419 -120.92 -2.87357 8.95551 -1.50022
  94 23.375 18.338 0.18338 16132.6 -1.84971 -6.92641 -26.0958 15145.7 16147.6 17104.6 -107.39 -112.488 -109.574 4.4901 -1.84956 4.26993
  95 23.625 18.2244 0.182244 16099.2 -2.0894 -4.71393 -26.2422 16003.6 15244.1 17050.1 -115.31 -113.928 -114.883 9.2974 -0.959255 1.83123
  96 23.875 17.7012 0.177012 16150.1 -0.662393 -6.43478 -26.2959 15656.8 15622.3 17171.2 -105.24 -116.407 -110.699 2.37093 7.21334 2.97469
  97 24.125 17.3908 0.173908 16260.2 -1.02948 -7.92937 -26.7927 15610.4 15894.2 17276.1 -120.998 -112.676 -121.474 4.94023 0.330375 2.5404
  98 24.375 17.1117 0.171117 16324.5 0.837239 -6.75586 -27.1822 15340 16261.5 17372 -120.585 -111.428 -117.972 0.686445 -4.72034 -5.06325
  99 24.625 17.3366 0.173366 15990.2 -1.92314 -6.64739 -26.8504 15429.8 15606.2 16934.5 -105.757 -103.958 -106.9 10.1905 -6.88699 7.25754
  100 24.875 17.0772 0.170772 15733.5 -3.26322 -1.34757 -27.0565 14982.8 15234.5 16983.3 -98.2181 -90.8353 -107.059 3.93436 1.31071 3.64704
  101 25.125 16.4679 0.164679 15980 -2.44896 -2.84244 -27.9847 15275.5 15377.9 17286.5 -104.234 -112.635 -109.353 2.61198 0.9621 2.4339
  102 25.375 16.1693 0.161693 16245.1 -3.61812 -2.5017 -28.2996 15512.7 15706.2 17516.4 -96.2627 -99.4421 -108.892 10.2778 4.29074 7.0483
  103 25.625 15.9334 0.159334 16225.1 -1.55379 -4.07057 -28.5232 15353.5 15680.5 17641.4 -85.0473 -89.156 -98.4887 2.16944 2.21096 0.194676
  104 25.875 16.1578 0.161578 15756.2 1.24014 -4.19173 -27.7318 14789.9 15439 17039.7 -76.8706 -84.9223 -96.3399 -0.530164 0.214556 4.18221
  105 26.125 15.6334 0.156334 16030 -3.61738 -1.24078 -28.8434 15254.6 15168.7 17666.9 -87.1211 -94.8096 -101.653 -0.267983 -3.57621 2.41094
  106 26.375 15.706 0.15706 15935 -1.26798 -0.828105 -28.8712 15143.1 15351.9 17309.9 -94.7633 -87.7862 -96.6249 -5.43564 4.75388 -0.586432
  107 26.625 15.6058 0.156058 15990.5 1.86008 -2.1844 -28.177 15458.2 15537.7 16975.5 -92.27 -82.1452 -106.14 -2.35024 1.24157 2.88907
  108 26.875 15.3037 0.153037 16178.4 1.84216 -2.40639 -28.0057 15806.3 15608.1 17120.8 -106.085 -102.443 -97.913 3.84368 6.13952 -8.5527
  109 27.125 15.0515 0.150515 15984 2.1738 -1.22274 -28.2324 15859.3 14811.2 17281.7 -90.8852 -102.327 -97.582 -1.1905 5.07216 -0.978675
  110 27.375 14.9867 0.149867 15862.8 0.836677 -0.727664 -28.4158 15435.7 15055.8 17097 -90.5696 -87.1888 -92.6748 -5.11023 0.981228 -2.44911
  111 27.625 14.7 0.147 15966.7 -1.82826 -1.99703 -29.0317 15428 15300.1 17172.1 -76.2216 -80.0046 -86.3914 -2.09751 -0.619544 -3.82009
  112 27.875 14.4848 0.144848 15909.5 -1.64131 -1.4777 -29.2141 15605.7 14763.5 17359.4 -73.6236 -81.0709 -85.4783 -2.94615 2.20169 2.61461
  113 28.125 14.2951 0.142951 16005.3 -5.57196 -3.99519 -29.2479 15802.4 14811.1 17402.4 -75.8379 -72.1836 -84.1191 -1.90217 9.05713 0.501429
  114 28.375 14.217 0.14217 15891.2 -6.23911 -1.38253 -29.046 15337.4 14928.6 17407.7 -73.4989 -78.9765 -85.6558 1.49606 6.26395 1.85239
  115 28.625 14.0276 0.140276 16111 -4.8661 -1.21468 -29.2975 15942.6 15104.7 17285.5 -81.6176 -84.0686 -93.4729 -3.87713 2.31874 -0.197439
  116 28.875 13.7926 0.137926 15937.8 -4.95617 -2.69675 -29.6985 15337 14891.6 17584.8 -88.6426 -80.0021 -94.9109 -3.6641 -3.00468 -3.23836
  117 29.125 13.5847 0.135847 15919.5 -1.53823 0.359953 -30.1514 15512.6 14596 17650 -75.304 -77.6086 -85.1066 -2.35205 2.54016 0.207053
  118 29.375 13.2721 0.132721 15976.1 1.56787 0.448354 -31.0555 15901.7 14251.8 17774.9 -85.9815 -79.6029 -92.763 1.62137 -2.39498 -3.88032
  119 29.625 13.0312 0.130312 16053 0.448068 1.32728 -31.1149 15411.1 14577.8 18170.3 -89.196 -68.0546 -86.099 4.04601 1.52227 1.44
  120 29.875 13.1983 0.131983 16003.9 -1.65088 -0.396114 -30.8556 15397.4 14902.1 17712.2 -81.5911 -70.7495 -77.9467 -0.928192 0.537396 2.1255
  121 30.125 12.8129 0.128129 16199.3 -0.944424 0.269788 -31.4897 15499.5 15106.4 17991.9 -80.5922 -85.0566 -78.2384 -1.4137 -1.77434 2.53923
  122 30.375 12.6732 0.126732 16358.6 -2.60281 0.636784 -31.0306 15916.6 15292.3 17866.8 -69.1634 -71.0739 -69.2226 -6.61029 2.68496 2.29385
  123 30.625 12.5706 0.125706 16062.3 -2.84731 0.53356 -31.4819 15160.3 15139.9 17886.7 -81.1285 -75.3928 -65.8339 -7.44468 1.76129 -4.64419
  124 30.875 12.5132 0.125132 16212.3 -3.11791 3.13324 -31.4183 15521.6 15426.2 17689.1 -82.9538 -70.9428 -71.4142 -1.67603 0.89477 -0.775141
  125 31.125 12.6421 0.126421 15963.4 -4.13223 0.195796 -30.7509 15127.3 15522.9 17240.1 -82.5791 -80.9311 -68.0178 -0.0603635 -0.0442135 -1.23644
